Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"ACCT","8550","1","ACCT 8550: 001","66%","29%","3%","0%","3%","0%","0%","0%","Barnes, James D",""
"ACCT","8550","2","ACCT 8550: 002","68%","32%","0%","0%","0%","0%","0%","0%","Barnes, James D",""
"ACCT","8710","1","ACCT 8710: 001","23%","71%","3%","0%","3%","0%","0%","0%","Dalton, Derek W.",""
"ACCT","8710","2","ACCT 8710: 002","31%","66%","3%","0%","0%","0%","0%","0%","Dalton, Derek W.",""
"AGED","3550","1","Team and Organiz Leadership","56%","38%","6%","0%","0%","0%","0%","0%","Dobbins, Thomas R",""
"AGED","4150","1","AGED 4150: 001","67%","25%","8%","0%","0%","0%","0%","0%","Layfield, Kevin D",""
"AGM","2050","1","AGM 2050: 001","15%","42%","32%","4%","0%","0%","0%","8%","Massey, Hunter F",""
"AGM","2060","1","AGM 2060: 001","23%","55%","18%","5%","0%","0%","0%","0%","Massey, Hunter F",""
"AGM","2210","1","AGM 2210: 001","29%","46%","20%","0%","6%","0%","0%","0%","Privette, Charles V",""
"AGM","3030","1","AGM 3030: 001","21%","40%","33%","2%","2%","0%","0%","0%","Han, Young J",""
"AGM","4020","1","AGM 4020: 001","6%","66%","26%","0%","3%","0%","0%","0%","Privette, Charles V",""
"AGM","4100","1","AGM 4100: 001","38%","47%","13%","3%","0%","0%","0%","0%","Massey, Hunter F",""
"AGM","4520","1","AGM 4520: 001","21%","56%","24%","0%","0%","0%","0%","0%","Kirk, Kendall R",""
"AGM","4720","1","AGM 4720: 001","65%","24%","12%","0%","0%","0%","0%","0%","Chastain, John P",""
"AL","3490","400","AL 3490: 400","56%","26%","19%","0%","0%","0%","0%","0%","Cadorette, Deborah J",""
"AL","3490","401","AL 3490: 401","61%","32%","7%","0%","0%","0%","0%","0%","Cadorette, Deborah J",""
"AL","3490","402","AL 3490: 402","73%","19%","8%","0%","0%","0%","0%","0%","Cadorette, Deborah J",""
"AL","3490","403","AL 3490: 403","68%","25%","0%","0%","7%","0%","0%","0%","Connor, Clyde Keith",""
