Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3030,4,Cost Accounting,15%,35%,23%,15%,5%,0%,0%,8%,0%,0%,0%,0%,"Garrett, Jace B",
ACCT,3030,5,Cost Accounting,23%,34%,32%,9%,0%,0%,0%,2%,0%,0%,0%,0%,"Garrett, Jace B",
ACCT,3110,1,Intermediate Financial Acc,13%,39%,24%,16%,5%,0%,0%,3%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,2,Intermediate Financial Acc,11%,42%,25%,14%,6%,0%,0%,3%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,3,Intermediate Financial Acc,17%,37%,32%,5%,5%,0%,0%,5%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,4,Intermediate Financial Acc,15%,42%,27%,0%,8%,0%,0%,8%,0%,0%,0%,0%,"Donnelly, Amy",
,,,,,,,,,,,,,,,,Melissa,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Friday, September 10, 2021",,,,,,,,,,,,,,,,Page 2 of 146,
Grades Report for 202101,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3110,5,Intermediate Financial Acc,30%,39%,26%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Donnelly, Amy",
,,,,,,,,,,,,,,,,Melissa,
ACCT,3110,6,Intermediate Financial Acc,23%,50%,18%,8%,0%,0%,0%,3%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3110,7,Intermediate Financial Acc,36%,29%,29%,5%,2%,0%,0%,0%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3120,1,Intermediate Financial Acc,3%,34%,37%,11%,11%,0%,0%,5%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3120,2,Intermediate Financial Acc,19%,41%,22%,5%,3%,0%,0%,11%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3120,3,Intermediate Financial Acc,29%,26%,29%,0%,9%,0%,0%,6%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,4,Intermediate Financial Acc,66%,17%,14%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,5,Intermediate Financial Acc,62%,24%,9%,0%,3%,0%,0%,3%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,6,Intermediate Financial Acc,42%,36%,18%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3130,1,Analytics for Acct Dec Mak,22%,37%,30%,7%,0%,0%,0%,4%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,2,Analytics for Acct Dec Mak,7%,41%,48%,4%,0%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,3,Analytics for Acct Dec Mak,17%,38%,31%,14%,0%,0%,0%,0%,0%,0%,0%,0%,"Mammadov, Babak",
ACCT,3130,4,Analytics for Acct Dec Mak,18%,36%,29%,11%,4%,0%,0%,4%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
ACCT,3130,5,Analytics for Acct Dec Mak,0%,43%,43%,9%,4%,0%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian",
,,,,,,,,,,,,,,,,L,
ACCT,3130,105,Analytics for Accounting (H,60%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Davis-Culler, Phebian",H
,,,,,,,,,,,,,,,,L,
ACCT,3220,1,Accounting Information Sy,21%,33%,17%,8%,4%,0%,0%,17%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,2,Accounting Information Sy,52%,16%,12%,8%,4%,0%,0%,8%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,3,Accounting Information Sy,16%,28%,28%,24%,4%,0%,0%,0%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3220,4,Accounting Information Sy,4%,21%,29%,8%,13%,0%,0%,25%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,4040,1,Individual Taxation,70%,15%,9%,3%,3%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,4040,2,Individual Taxation,79%,15%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Friday, September 10, 2021",,,,,,,,,,,,,,,,Page 3 of 146,
Grades Report for 202101,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,4040,3,Individual Taxation,56%,28%,5%,5%,3%,0%,0%,3%,0%,0%,0%,0%,"Birtwistle, Lisa",
,,,,,,,,,,,,,,,,Wheatley,
ACCT,4040,4,Individual Taxation,56%,33%,5%,3%,0%,0%,0%,3%,0%,0%,0%,0%,"Birtwistle, Lisa",
,,,,,,,,,,,,,,,,Wheatley,
ACCT,4100,1,Reporting and Mgmt Contr,28%,45%,25%,0%,0%,0%,0%,3%,0%,0%,0%,0%,"McPhee, Gregory",
,,,,,,,,,,,,,,,,Patrick,
ACCT,4100,2,Reporting and Mgmt Contr,11%,50%,37%,3%,0%,0%,0%,0%,0%,0%,0%,0%,"McPhee, Gregory",
,,,,,,,,,,,,,,,,Patrick,
ACCT,4150,1,Auditing,30%,46%,22%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,4150,2,Auditing,24%,52%,24%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,8520,1,Fin Acct Theory/Res,69%,28%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Welton, Ralph",
,,,,,,,,,,,,,,,,Edward,
ACCT,8520,2,Fin Acct Theory/Res,39%,61%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Welton, Ralph",
,,,,,,,,,,,,,,,,Edward,
ACCT,8540,1,Prof Responsibility,83%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8540,2,Prof Responsibility,67%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8540,3,Prof Responsibility,78%,15%,4%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8560,1,CPA Exam Review-A,0%,0%,0%,0%,0%,97%,2%,1%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8620,1,Financial Auditing,83%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8620,2,Financial Auditing,68%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,8710,1,Corporate Taxation,30%,67%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
ACCT,8710,2,Corporate Taxation,9%,82%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
ACCT,8710,3,Corporate Taxation,33%,56%,7%,0%,4%,0%,0%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
ACCT,8730,1,Intl/Spec Tax Topic,51%,34%,11%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Kisska-Schulze,",
,,,,,,,,,,,,,,,,Kathryn,
ACCT,8740,1,Tax Aspects of Finan Planni,51%,46%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Hine, John M",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Friday, September 10, 2021",,,,,,,,,,,,,,,,Page 4 of 146,
Grades Report for 202101,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AGED,1000,1,Orientation & Field Experie,83%,8%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,"Fravel, Philip M",
AGED,2030,1,Teaching Agriscience,38%,44%,13%,6%,0%,0%,0%,0%,0%,0%,0%,0%,"DiBenedetto,",
,,,,,,,,,,,,,,,,Catherine A,
AGED,4160,1,Ethics and Issues,85%,8%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,"Player, W Kirby",
AGED,4800,1,Digital Media & Learning,92%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Layfield, Kevin D",
AGM,2050,1,Prin of Fabrication,26%,60%,12%,0%,2%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2050,1,Prin of Fabrication,26%,60%,12%,0%,2%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2060,1,Machinery Mgt,5%,37%,26%,11%,16%,0%,0%,5%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2060,1,Machinery Mgt,5%,37%,26%,11%,16%,0%,0%,5%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,2200,1,Calc for Mechanized Agric,47%,33%,10%,7%,3%,0%,0%,0%,0%,0%,0%,0%,"Turner, Aaron Paul",
AGM,2210,1,Land Measurements,62%,28%,7%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Teddy, Brennan",
,,,,,,,,,,,,,,,,Edward,
AGM,4020,1,Irrigation System Design,17%,33%,43%,7%,0%,0%,0%,0%,0%,0%,0%,0%,"Privette, Charles V",
AGM,4050,1,Env Cont in Anim Str,9%,18%,0%,0%,73%,0%,0%,0%,0%,0%,0%,0%,"Chastain, John P",
AGM,4100,1,Precision Ag Tech,56%,23%,10%,8%,3%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,4100,1,Precision Ag Tech,56%,23%,10%,8%,3%,0%,0%,0%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,4520,1,Mobile Power,31%,42%,27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Koc, Ali Bulent",
AGM,4720,1,Capstone,38%,29%,29%,5%,0%,0%,0%,0%,0%,0%,0%,0%,"Chastain, John P",
AGM,8000,1,Research Methods,60%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Karthikeyan,",
,,,,,,,,,,,,,,,,Raghupathy,
AGRB,2020,1,Agricultural Economics,59%,24%,14%,1%,1%,0%,0%,0%,0%,0%,0%,0%,"Ureta, Julie Carl",
,,,,,,,,,,,,,,,,Pingol,
AGRB,2050,1,Agriculture and Society,15%,22%,38%,5%,13%,0%,0%,7%,0%,0%,0%,0%,"Vassalos, Michael",
AGRB,3080,1,Quant Agribusiness Analysi,18%,12%,29%,26%,15%,0%,0%,0%,0%,0%,0%,0%,"Zhang, Lisha",
AGRB,3190,1,Agribusiness Management,16%,20%,14%,30%,14%,0%,0%,7%,0%,0%,0%,0%,"Vassalos, Michael",
AGRB,3570,1,Natural Resources Econom,16%,16%,27%,18%,10%,0%,0%,12%,0%,0%,0%,0%,"Willis, David Brian",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Friday, September 10, 2021",,,,,,,,,,,,,,,,Page 5 of 146,
Grades Report for 202101,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AGRB,4020,1,Production Economics,19%,22%,31%,19%,6%,0%,0%,3%,0%,0%,0%,0%,"De Figueiredo Silva,",
,,,,,,,,,,,,,,,,Felipe,
AGRB,4080,1,Quant Agribusiness Analysi,35%,38%,18%,8%,3%,0%,0%,0%,0%,0%,0%,0%,"Zhang, Lisha",
AGRB,4560,1,Prices,26%,29%,23%,19%,3%,0%,0%,0%,0%,0%,0%,0%,"De Figueiredo Silva,",
,,,,,,,,,,,,,,,,Felipe,
AGRB,4570,1,"Natural Res Use, Tech & P",14%,57%,29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Willis, David Brian",
AL,3340,400,Social Issues in Athletic Lea,92%,4%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Soles, Misty B",
AL,3490,400,Principles of Coaching,67%,17%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,401,Principles of Coaching,56%,28%,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,402,Principles of Coaching,64%,16%,8%,0%,4%,0%,0%,8%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,403,Principles of Coaching,68%,16%,12%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,3490,404,Principles of Coaching,84%,12%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3490,406,Principles of Coaching,72%,24%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,407,Principles of Coaching,76%,16%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,408,Principles of Coaching,64%,28%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Plumblee, John T",
AL,3490,409,Principles of Coaching,80%,16%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Mezzanotte, Frank P",
AL,3490,410,Principles of Coaching,62%,29%,0%,0%,5%,0%,0%,5%,0%,0%,0%,0%,"Mezzanotte, Frank P",
AL,3490,412,Principles of Coaching,80%,4%,4%,0%,4%,0%,0%,8%,0%,0%,0%,0%,"Whitrow, Nicholas",
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,413,Principles of Coaching,87%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Neuder, Joel P",
AL,3500,400,Sci Basis I/Ex Phy,37%,33%,22%,4%,4%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,3500,401,Sci Basis I/Ex Phy,32%,32%,28%,4%,4%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,3520,400,Kinesiology,33%,38%,14%,5%,0%,0%,0%,10%,0%,0%,0%,0%,"Colbert, Isaac Sean",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Friday, September 10, 2021",,,,,,,,,,,,,,,,Page 6 of 146,
Grades Report for 202101,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3530,400,Athletic Injuries,62%,23%,4%,8%,0%,0%,0%,4%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3530,401,Athletic Injuries,60%,24%,8%,8%,0%,0%,0%,0%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3600,400,Hgh Sch Athl Ethical/Legal I,64%,16%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,3610,400,Admin/Org of Athletic Pro,76%,14%,3%,0%,3%,0%,0%,3%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,401,Admin/Org of Athletic Pro,72%,24%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,402,Admin/Org of Athletic Pro,80%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3620,400,Psychology of Coaching,28%,36%,24%,4%,4%,0%,0%,4%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,401,Psychology of Coaching,16%,28%,36%,4%,4%,0%,0%,12%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,402,Psychology of Coaching,28%,20%,24%,20%,4%,0%,0%,4%,0%,0%,0%,0%,"Carter, Natalie Anne",
AL,3720,400,Coaching Basketball,68%,16%,8%,4%,4%,0%,0%,0%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3740,400,Coaching Football,60%,20%,4%,0%,8%,0%,0%,8%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3750,400,Coaching Soccer,84%,8%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,"Hickey, Justin M",
AL,3760,400,Coaching Strength/Conditi,59%,22%,11%,0%,4%,0%,0%,4%,0%,0%,0%,0%,"Fry, Edmond H",
AL,3760,401,Coaching Strength/Conditi,48%,32%,12%,0%,0%,0%,0%,8%,0%,0%,0%,0%,"Fry, Edmond H",
AL,4000,400,Athletic Leadership Interns,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,4380,401,Officiating in Athl Leadersh,54%,21%,21%,0%,0%,0%,0%,4%,0%,0%,0%,0%,"Connor, Clyde Keith",
AL,4380,402,High School Recruiting,50%,23%,15%,4%,4%,0%,0%,4%,0%,0%,0%,0%,"Hickey, Justin M",
AL,4380,403,Coaching Baseball/Softball,56%,4%,28%,0%,8%,0%,0%,4%,0%,0%,0%,0%,"Hickey, Justin M",
AL,4490,400,Athlete Beliefs,40%,45%,0%,10%,0%,0%,0%,5%,0%,0%,0%,0%,"Cadorette, Deborah",
,,,,,,,,,,,,,,,,Jo,
AL,8380,400,Intercoll Ath Personnel Mg,71%,14%,7%,0%,0%,0%,0%,0%,7%,0%,0%,0%,"Young, Kyle",
,,,,,,,,,,,,,,,,McLendon,
AL,8380,402,Sports Op & Team Culture,70%,25%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,"Carlson, Julianna D",
AL,8380,403,Sports Op & Team Culture,79%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Carlson, Julianna D",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Friday, September 10, 2021",,,,,,,,,,,,,,,,Page 7 of 146,
Grades Report for 202101,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,8380,404,Student Athlete Developm,86%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Magette, Janna",
,,,,,,,,,,,,,,,,Theresa,
AL,8500,400,Principles Strength and Co,53%,29%,18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,8630,400,Socio Dynam in Intercol At,80%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Godfrey, Michael G",
AL,8630,401,Socio Dynam in Intercol At,63%,32%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Stokowski, Sarah E",
AL,8630,402,Socio Dynam in Intercol At,67%,17%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Stokowski, Sarah E",
AL,8640,400,Ethical Iss in Collegiate Ath,92%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Magette, Janna",
,,,,,,,,,,,,,,,,Theresa,
AL,8640,401,Ethical Iss in Collegiate Ath,60%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Magette, Janna",
,,,,,,,,,,,,,,,,Theresa,
AL,8640,402,Ethical Iss in Collegiate Ath,69%,31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Magette, Janna",
,,,,,,,,,,,,,,,,Theresa,
ANTH,2010,1,Introduction to Anthropol,59%,32%,0%,2%,7%,0%,0%,0%,0%,0%,0%,0%,"Markus, David M",
ANTH,2010,2,Introduction to Anthropol,60%,35%,3%,0%,0%,0%,0%,2%,0%,0%,0%,0%,"Markus, David M",
ANTH,2010,3,Introduction to Anthropol,45%,23%,15%,3%,12%,0%,0%,2%,0%,0%,0%,0%,"Rapaport, Lisa G",
ANTH,2010,4,Introduction to Anthropol,38%,40%,13%,3%,5%,0%,0%,0%,0%,0%,0%,0%,"Wu, Yi",
ANTH,2010,5,Introduction to Anthropol,42%,38%,12%,8%,0%,0%,0%,0%,0%,0%,0%,0%,"Wu, Yi",
ANTH,2050,1,Professional Development,71%,21%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,"Weisensee,",
,,,,,,,,,,,,,,,,Katherine E,
ANTH,3010,1,Cultural Anthropology,31%,23%,31%,0%,0%,0%,0%,8%,8%,0%,0%,0%,"Coggeshall, John M",
ANTH,3310,1,Archaeology,55%,39%,3%,0%,0%,0%,0%,0%,3%,0%,0%,0%,"Markus, David M",
ANTH,3910,1,Medical Anthropology,25%,38%,13%,13%,13%,0%,0%,0%,0%,0%,0%,0%,"Zhang, Yanhua",
ANTH,4040,1,Anthropological Theories,44%,17%,17%,17%,0%,0%,0%,6%,0%,0%,0%,0%,"Coggeshall, John M",
ANTH,4310,1,Historical Archaeology,58%,23%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Markus, David M",
