Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AAH,1020,1,Survey of Art & Arch Hist II,46%,42%,11%,0%,0%,0%,0%,1%,"Lauritis, Beth Ann",
AAH,2060,1,Art History and Theory II,76%,24%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Concepts,61%,20%,10%,5%,0%,0%,2%,2%,"McCorkle, Emily Suza",
ACCT,2010,2,Financial Accounting Concepts,31%,43%,19%,5%,2%,0%,0%,0%,"McCorkle, Emily Suza",
ACCT,2010,3,Financial Accounting Concepts,18%,52%,20%,5%,2%,0%,0%,2%,"Schleifer, Lydia Lan",
ACCT,2010,4,Financial Accounting Concepts,45%,33%,10%,3%,3%,0%,0%,8%,"Philo, Annieka C",
ACCT,2010,5,Financial Accounting Concepts,30%,43%,15%,8%,3%,0%,0%,3%,"Philo, Annieka C",
ACCT,2010,6,Financial Accounting Concepts,20%,43%,25%,5%,3%,0%,0%,5%,"Philo, Annieka C",
ACCT,2010,7,Financial Accounting Concepts,16%,48%,23%,2%,7%,0%,0%,5%,"Schleifer, Lydia Lan",
ACCT,2010,8,Financial Accounting Concepts,7%,40%,37%,7%,2%,0%,0%,7%,"Schleifer, Lydia Lan",
ACCT,2010,9,Financial Accounting Concepts,35%,33%,20%,3%,10%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,10,Financial Accounting Concepts,16%,25%,25%,9%,9%,0%,0%,16%,"Prater, Mary Ann M",
ACCT,2010,11,Financial Accounting Concepts,31%,40%,11%,3%,6%,0%,0%,9%,"Tegen, Charles A",
ACCT,2010,12,Financial Accounting Concepts,30%,38%,13%,0%,8%,0%,0%,13%,"Birtwistle, Lisa Whe",
ACCT,2010,13,Financial Accounting Concepts,41%,31%,21%,3%,0%,0%,5%,0%,"Birtwistle, Lisa Whe",
ACCT,2010,14,Financial Accounting Concepts,46%,36%,13%,0%,5%,0%,0%,0%,"Birtwistle, Lisa Whe",
ACCT,2010,15,Financial Accounting Concepts,34%,39%,15%,7%,5%,0%,0%,0%,"Barnes, James D",
ACCT,2010,16,Financial Accounting Concepts,37%,33%,14%,5%,7%,0%,0%,5%,"Barnes, James D",
ACCT,2010,17,Financial Accounting Concepts,0%,34%,41%,7%,7%,0%,0%,10%,"Schleifer, Lydia Lan",
ACCT,2010,101,Fin Acct Concepts (HON),73%,18%,0%,0%,0%,0%,0%,9%,"Prater, Mary Ann M",H
ACCT,2010,401,Financial Accounting Concepts,29%,36%,18%,6%,8%,0%,0%,3%,"McMillan, Jeffrey J",
ACCT,2020,1,Managerial Accounting Concepts,25%,25%,29%,4%,7%,0%,0%,11%,"Anderson, Henry K.",
ACCT,2020,2,Managerial Accounting Concepts,34%,26%,26%,6%,3%,0%,0%,6%,"Anderson, Henry K.",
ACCT,2020,3,Managerial Accounting Concepts,41%,31%,13%,5%,0%,0%,3%,8%,"Anderson, Henry K.",
ACCT,2020,4,Managerial Accounting Concepts,29%,36%,24%,5%,5%,0%,0%,2%,"McCorkle, Emily Suza",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 1 of 119,
Grades Report for 201901,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,2020,5,Managerial Accounting Concepts,33%,40%,14%,5%,0%,0%,5%,2%,"McCorkle, Emily Suza",
ACCT,2020,6,Managerial Accounting Concepts,31%,27%,25%,10%,2%,0%,0%,4%,"Davis-Culler, Phebia",
ACCT,2020,7,Managerial Accounting Concepts,23%,38%,17%,9%,0%,0%,13%,0%,"Davis-Culler, Phebia",
