Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AAH,1010,1,Survey of Art & Arch History I,50%,35%,11%,0%,1%,0%,0%,4%,"Lauritis, Beth Ann",
AAH,2050,1,Art History and Theory I,86%,14%,0%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,3050,1,Contemporary Art History,89%,6%,0%,6%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Concepts,11%,23%,26%,11%,13%,0%,0%,17%,"Maiberger, Philip A",
ACCT,2010,2,Financial Accounting Concepts,13%,40%,30%,6%,0%,0%,0%,11%,"Maiberger, Philip A",
ACCT,2010,3,Financial Accounting Concepts,41%,23%,13%,5%,3%,0%,0%,15%,"Schleifer, Lydia Lan",
ACCT,2010,4,Financial Accounting Concepts,32%,43%,14%,3%,8%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,5,Financial Accounting Concepts,26%,24%,13%,8%,11%,0%,0%,18%,"Schleifer, Lydia Lan",
ACCT,2010,6,Financial Accounting Concepts,20%,27%,17%,3%,7%,0%,0%,27%,"Guffey, The Estate o",
ACCT,2010,7,Financial Accounting Concepts,33%,43%,10%,12%,0%,0%,0%,2%,"Philo, Annieka C",
ACCT,2010,8,Financial Accounting Concepts,10%,36%,36%,3%,10%,0%,0%,5%,"Maiberger, Philip A",
ACCT,2010,9,Financial Accounting Concepts,20%,28%,25%,5%,15%,0%,0%,8%,"Schleifer, Lydia Lan",
ACCT,2010,10,Financial Accounting Concepts,41%,32%,14%,5%,9%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,11,Financial Accounting Concepts,5%,45%,21%,10%,10%,0%,0%,10%,"Guffey, The Estate o",
ACCT,2010,12,Financial Accounting Concepts,21%,37%,15%,3%,9%,0%,0%,16%,"Kohlmeyer, James Mil",
ACCT,2010,13,Financial Accounting Concepts,13%,53%,16%,0%,8%,0%,0%,11%,"Prater, Mary Ann M",
ACCT,2010,14,Financial Accounting Concepts,13%,56%,17%,6%,6%,0%,0%,4%,"Kohlmeyer, James Mil",
ACCT,2010,100,Fin Accounting Concepts (HON),68%,32%,0%,0%,0%,0%,0%,0%,"Guffey, The Estate o",H
ACCT,2010,400,Financial Accounting Concepts,15%,27%,25%,14%,13%,0%,0%,7%,"McMillan, Jeffrey J",
ACCT,2020,1,Managerial Accounting Concepts,14%,14%,24%,12%,7%,0%,0%,29%,"Anderson, Henry K.",
ACCT,2020,2,Managerial Accounting Concepts,23%,34%,21%,2%,9%,0%,0%,11%,"Anderson, Henry K.",
ACCT,2020,3,Managerial Accounting Concepts,26%,32%,19%,8%,9%,0%,0%,6%,"Hawk, Holly Rhiannio",
ACCT,2020,4,Managerial Accounting Concepts,14%,41%,24%,14%,8%,0%,0%,0%,"Hawk, Holly Rhiannio",
ACCT,2020,5,Managerial Accounting Concepts,37%,28%,28%,2%,6%,0%,0%,0%,"Smalls, Tonya Dionne",
ACCT,2020,6,Managerial Accounting Concepts,37%,24%,18%,2%,12%,0%,0%,8%,"Smalls, Tonya Dionne",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 1 of 109,
Grades Report for 201508,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,2020,400,Managerial Accounting Concepts,18%,15%,18%,9%,8%,0%,0%,31%,"Anderson, Henry K.",
ACCT,3030,1,Cost Accounting,18%,52%,18%,0%,2%,0%,0%,11%,"Hawk, Holly Rhiannio",
ACCT,3030,2,Cost Accounting,33%,42%,7%,0%,9%,0%,0%,9%,"Hawk, Holly Rhiannio",
ACCT,3030,3,Cost Accounting,22%,43%,22%,7%,4%,0%,0%,2%,"Garrett, Jace B",
ACCT,3030,4,Cost Accounting,16%,60%,16%,0%,0%,0%,0%,9%,"Garrett, Jace B",
ACCT,3110,1,Intermediate Financial Acct I,18%,42%,24%,3%,11%,0%,0%,3%,"Knause, Terry Daniel",
ACCT,3110,2,Intermediate Financial Acct I,35%,26%,21%,6%,6%,0%,0%,6%,"Knause, Terry Daniel",
ACCT,3110,3,Intermediate Financial Acct I,23%,38%,15%,10%,10%,0%,0%,3%,"Knause, Terry Daniel",
ACCT,3110,4,Intermediate Financial Acct I,33%,40%,18%,5%,3%,0%,0%,3%,"Knause, Terry Daniel",
ACCT,3110,5,Intermediate Financial Acct I,23%,46%,21%,5%,3%,0%,0%,3%,"Madray, J Russell",
ACCT,3110,400,Intermediate Financial Acct I,8%,21%,38%,13%,8%,0%,0%,13%,"Madray, J Russell",
ACCT,3120,1,Intermediate Financial Acct II,7%,21%,32%,21%,14%,0%,0%,4%,"Carver, Brian Todd",
ACCT,3120,2,Intermediate Financial Acct II,8%,28%,38%,13%,8%,0%,0%,5%,"Carver, Brian Todd",
ACCT,3120,3,Intermediate Financial Acct II,15%,28%,38%,10%,5%,0%,0%,3%,"Vinson, Jeremy Micha",
ACCT,3120,4,Intermediate Financial Acct II,13%,45%,34%,5%,3%,0%,0%,0%,"Vinson, Jeremy Micha",
ACCT,3120,5,Intermediate Financial Acct II,13%,38%,38%,5%,5%,0%,0%,0%,"Vinson, Jeremy Micha",
ACCT,3130,1,Intermediate Fin Acct III,18%,33%,39%,3%,3%,0%,0%,3%,"Madray, J Russell",
ACCT,3130,2,Intermediate Fin Acct III,37%,43%,17%,0%,0%,0%,0%,3%,"Madray, J Russell",
ACCT,3130,3,Intermediate Fin Acct III,20%,35%,28%,13%,0%,0%,0%,5%,"Irving, James H",
ACCT,3130,4,Intermediate Fin Acct III,26%,36%,28%,8%,3%,0%,0%,0%,"Madray, J Russell",
ACCT,3220,1,Accounting Information Systems,9%,26%,23%,11%,6%,0%,0%,26%,"Maiberger, Philip A",
ACCT,3220,2,Accounting Information Systems,27%,32%,30%,11%,0%,0%,0%,0%,"Harp, Nancy Lee",
ACCT,3220,3,Accounting Information Systems,11%,35%,30%,11%,5%,0%,0%,8%,"Harp, Nancy Lee",
ACCT,4040,1,Individual Taxation,80%,20%,0%,0%,0%,0%,0%,0%,"Martin, Sarah L",
ACCT,4040,2,Individual Taxation,75%,20%,5%,0%,0%,0%,0%,0%,"Martin, Sarah L",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 2 of 109,
Grades Report for 201508,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,4080,1,Retire & Estate Plan,44%,28%,28%,0%,0%,0%,0%,0%,"Hine, John M",
ACCT,4100,1,Reporting and Mgmt Control Sys,31%,46%,13%,8%,0%,0%,0%,3%,"Widener, Sally Kathr",
ACCT,4100,2,Reporting and Mgmt Control Sys,50%,42%,8%,0%,0%,0%,0%,0%,"Widener, Sally Kathr",
ACCT,4150,1,Auditing,17%,40%,31%,11%,0%,0%,0%,0%,"Hollingsworth, Carl",
