Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AAH,1020,1,Survey of Art & Arch Hist II,50%,42%,5%,0%,0%,0%,0%,1%,2%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,2060,1,Art History and Theory II,88%,6%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting Conc,45%,20%,13%,9%,11%,0%,0%,2%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,2,Financial Accounting Conc,55%,22%,9%,2%,9%,0%,0%,3%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,3,Financial Accounting Conc,25%,29%,15%,9%,9%,0%,0%,13%,0%,0%,0%,0%,"McGuigan, Michael",
,,,,,,,,,,,,,,,,John,
ACCT,2010,4,Financial Accounting Conc,44%,22%,18%,7%,7%,0%,0%,2%,0%,0%,0%,0%,"McGuigan, Michael",
,,,,,,,,,,,,,,,,John,
ACCT,2010,5,Financial Accounting Conc,38%,24%,26%,2%,4%,0%,0%,6%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,6,Financial Accounting Conc,28%,26%,36%,6%,2%,0%,0%,2%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,7,Financial Accounting Conc,26%,30%,30%,4%,4%,0%,0%,4%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,8,Financial Accounting Conc,32%,33%,14%,12%,4%,0%,0%,5%,0%,0%,0%,0%,"Grant, Julie H",
ACCT,2010,9,Financial Accounting Conc,49%,26%,16%,7%,2%,0%,0%,0%,0%,0%,0%,0%,"Schleifer, Lydia",
,,,,,,,,,,,,,,,,Lancaster Folger,
ACCT,2010,10,Financial Accounting Conc,36%,33%,24%,2%,5%,0%,0%,0%,0%,0%,0%,0%,"Tegen, Charles A",
ACCT,2010,11,Financial Accounting Conc,10%,35%,26%,9%,6%,0%,0%,13%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2010,12,Financial Accounting Conc,13%,30%,27%,13%,4%,0%,0%,12%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,2010,13,Financial Accounting Conc,20%,34%,20%,11%,11%,0%,0%,5%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,14,Financial Accounting Conc,23%,30%,34%,4%,5%,0%,0%,4%,0%,0%,0%,0%,"McMillan, Jeffrey J",
ACCT,2010,107,Fin Acct Concepts (HON),92%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Grant, Julie H",H
ACCT,2010,400,Financial Accounting Conc,21%,24%,37%,13%,1%,0%,0%,4%,0%,0%,0%,0%,"McCorkle, Emily",
,,,,,,,,,,,,,,,,Suzanne,
ACCT,2010,401,Financial Accounting Conc,7%,36%,14%,12%,13%,0%,0%,17%,0%,0%,0%,0%,"Madray, J Russell",
