Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,4040,2,Individual Taxation,82%,8%,5%,5%,0%,0%,0%,0%,"Martin, Sarah L",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 2 of 112,
Grades Report for 201608,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,4040,3,Individual Taxation,21%,44%,26%,5%,0%,0%,0%,5%,"Dalton, Derek W.",
ACCT,4080,1,Retire & Estate Plan,27%,50%,18%,0%,5%,0%,0%,0%,"Hine, John M",
ACCT,4100,1,Reporting and Mgmt Control Sys,31%,44%,21%,3%,3%,0%,0%,0%,"Widener, Sally Kathr",
ACCT,4100,2,Reporting and Mgmt Control Sys,8%,44%,32%,4%,4%,0%,0%,8%,"Widener, Sally Kathr",
ACCT,4150,1,Auditing,52%,28%,20%,0%,0%,0%,0%,0%,"Hollingsworth, Carl",
ACCT,4150,2,Auditing,6%,44%,38%,6%,0%,0%,0%,6%,"Hollingsworth, Carl",
ACCT,8510,1,Tax Research,53%,47%,0%,0%,0%,0%,0%,0%,"Dickens, Thomas L",
ACCT,8510,2,Tax Research,22%,68%,8%,0%,0%,0%,0%,3%,"Dickens, Thomas L",
ACCT,8510,3,Tax Research,31%,69%,0%,0%,0%,0%,0%,0%,"Dickens, Thomas L",
ACCT,8530,1,Adv Acct Problems,56%,38%,3%,0%,0%,0%,0%,3%,"Welton, Ralph E",
ACCT,8530,2,Adv Acct Problems,64%,28%,8%,0%,0%,0%,0%,0%,"Welton, Ralph E",
ACCT,8530,3,Adv Acct Problems,62%,32%,3%,0%,3%,0%,0%,0%,"Pearse, Suzanne",
ACCT,8550,1,Gov't and Nonprofit Accounting,60%,37%,4%,0%,0%,0%,0%,0%,"Barnes, James D",
ACCT,8550,2,Gov't and Nonprofit Accounting,65%,33%,0%,0%,0%,0%,0%,2%,"Barnes, James D",
ACCT,8630,1,Forensics Analysis,44%,56%,0%,0%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,8630,2,Forensics Analysis,44%,49%,5%,0%,0%,0%,0%,3%,"Maiberger, Philip A",
ACCT,8650,1,Tax & Bus Decisions,80%,20%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
ACCT,8720,1,Tax of Flowthroughs,17%,43%,33%,0%,7%,0%,0%,0%,"Dickens, Thomas L",
AGED,1020,1,Freshman Seminar,68%,21%,7%,0%,0%,0%,0%,4%,"DiBenedetto, Catheri",
AGED,2010,1,Intro to Agric Educ,43%,24%,24%,5%,5%,0%,0%,0%,"Fravel, Philip M",
AGED,2040,1,App Ag Calculations,69%,23%,8%,0%,0%,0%,0%,0%,"Fravel, Philip M",
