Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,4150,2,Auditing,29%,48%,19%,3%,0%,0%,0%,0%,"Hollingsworth, Carl",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 2 of 93
Grades Report for 201501,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
ACCT,8520,1,Fin Acct Theory/Res,38%,50%,13%,0%,0%,0%,0%,0%,"Welton, Ralph E",
ACCT,8520,2,Fin Acct Theory/Res,32%,58%,10%,0%,0%,0%,0%,0%,"Welton, Ralph E",
ACCT,8540,1,Prof Responsibility,86%,14%,0%,0%,0%,0%,0%,0%,"Radtke, Robin R",
ACCT,8710,1,Corporate Taxation,46%,51%,3%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
ACCT,8710,2,Corporate Taxation,41%,53%,6%,0%,0%,0%,0%,0%,"Dalton, Derek W.",
AGED,1000,1,Orientation & Field Experience,85%,7%,4%,0%,0%,0%,0%,4%,"Fravel, Philip M",
AGED,2030,1,Teaching Agriscience,75%,25%,0%,0%,0%,0%,0%,0%,"Byrd, Alex P",
AGED,4160,1,Ethics and Issues,81%,19%,0%,0%,0%,0%,0%,0%,"Player, W Kirby",
AGM,2050,1,Prin of Fabrication,13%,45%,30%,5%,0%,0%,0%,7%,"Massey, Hunter F",
AGM,2060,1,Machinery Mgt,15%,36%,30%,9%,3%,0%,0%,6%,"Massey, Hunter F",
AGM,2210,1,Land Measurements,31%,42%,19%,8%,0%,0%,0%,0%,"Privette, Charles V",
AGM,3030,1,Cal for Mech Ag,48%,40%,10%,0%,0%,0%,0%,2%,"Han, Young J",
AGM,4020,1,Land Drain and Irrig,10%,55%,30%,5%,0%,0%,0%,0%,"Privette, Charles V",
AGM,4100,1,Precision Ag Tech,24%,44%,22%,10%,0%,0%,0%,0%,"Massey, Hunter F",
AGM,4520,1,Mobile Power,24%,44%,24%,5%,0%,0%,0%,2%,"Massey, Hunter F",
AGM,4720,1,Capstone,7%,36%,57%,0%,0%,0%,0%,0%,"Chastain, John P",
AL,3490,400,Principles of Coaching,41%,22%,33%,0%,0%,0%,0%,4%,"Cadorette, Deborah J",
AL,3490,401,Principles of Coaching,31%,52%,10%,3%,3%,0%,0%,0%,"Cadorette, Deborah J",
AL,3490,402,Principles of Coaching,52%,28%,4%,8%,4%,0%,0%,4%,"Wright, Julia S",
AL,3490,403,Principles of Coaching,67%,26%,4%,0%,4%,0%,0%,0%,"Connor, Clyde Keith",
AL,3490,404,Principles of Coaching,50%,31%,12%,4%,4%,0%,0%,0%,"Connor, Clyde Keith",
AL,3490,405,Principles of Coaching,74%,11%,0%,7%,4%,0%,0%,4%,"Fry, Edmond H",
AL,3500,400,Sci Basis I/Ex Phy,22%,19%,26%,22%,7%,0%,0%,4%,"Godfrey, Michael G",
AL,3500,401,Sci Basis I/Ex Phy,36%,16%,32%,8%,4%,0%,0%,4%,"Godfrey, Michael G",
AL,3520,400,Kinesiology,42%,5%,16%,16%,11%,0%,0%,11%,"Godfrey, Michael G",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 3 of 93
Grades Report for 201501,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AL,3530,400,Athletic Injuries,42%,15%,27%,15%,0%,0%,0%,0%,"Colbert, Isaac Sean",
AL,3530,401,Athletic Injuries,22%,22%,22%,17%,13%,0%,0%,4%,"Colbert, Isaac Sean",
AL,3600,400,Hgh Sch Athl Ethical/Legal Iss,33%,38%,19%,5%,5%,0%,0%,0%,"Connor, Clyde Keith",
AL,3610,400,Admin/Org of Athletic Programs,81%,12%,8%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,401,Admin/Org of Athletic Programs,73%,27%,0%,0%,0%,0%,0%,0%,"Oates, Henry C.",
AL,3610,402,Admin/Org of Athletic Programs,71%,17%,8%,0%,0%,0%,0%,4%,"Oates, Henry C.",
AL,3620,400,Psychology of Coaching,44%,24%,12%,16%,4%,0%,0%,0%,"Carter, Natalie Anne",
AL,3620,401,Psychology of Coaching,18%,30%,27%,15%,6%,0%,0%,3%,"Carter, Natalie Anne",
AL,3710,400,Coaching Baseball,65%,10%,10%,10%,5%,0%,0%,0%,"Hickey, Justin M",
AL,3720,400,Coaching Basketball,50%,8%,17%,4%,13%,0%,0%,8%,"Fry, Edmond H",
AL,3740,400,Coaching Football,54%,21%,8%,0%,17%,0%,0%,0%,"Fry, Edmond H",
AL,3760,400,Coaching Strength/Conditioning,58%,17%,4%,8%,4%,0%,0%,8%,"Fry, Edmond H",
AL,4380,400,Creative Inquire C&A,47%,27%,13%,7%,7%,0%,0%,0%,"Cadorette, Deborah J",
AL,4380,410,Coaching Rugby,76%,12%,0%,0%,0%,0%,0%,12%,"Cadorette, Deborah J",
