Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
AAH,1010,1,Survey of Art & Arch,44%,42%,11%,0%,0%,0%,0%,2%,"Lauritis, Beth Ann",
AAH,2050,1,Art History and Theo,86%,11%,0%,0%,0%,0%,0%,4%,"Lauritis, Beth Ann",
AAH,2100,400,Intro to Art and Arc,23%,42%,12%,12%,8%,0%,0%,4%,"Dorsey, Lydia Jane",
AAH,2100,401,Intro to Art and Arc,45%,34%,14%,7%,0%,0%,0%,0%,"Dorsey, Lydia Jane",
AAH,2100,402,Intro to Art and Arc,28%,40%,16%,8%,0%,0%,0%,8%,"Dorsey, Lydia Jane",
AAH,2100,403,Intro to Art and Arc,39%,43%,0%,4%,7%,0%,0%,7%,"Dorsey, Lydia Jane",
AAH,3050,1,Contemporary Art His,60%,20%,13%,0%,0%,0%,0%,7%,"Feeser, Andrea V",
ACCT,2010,1,Financial Accounting,4%,22%,30%,2%,15%,0%,0%,26%,"Maiberger, Philip A",
ACCT,2010,2,Financial Accounting,13%,30%,28%,9%,4%,0%,0%,17%,"Maiberger, Philip A",
ACCT,2010,3,Financial Accounting,19%,22%,22%,8%,10%,0%,0%,18%,"Pearse, Suzanne",
ACCT,2010,4,Financial Accounting,30%,30%,20%,5%,7%,0%,0%,9%,"Pearse, Suzanne",
ACCT,2010,5,Fin Acct Concepts (H,63%,37%,0%,0%,0%,0%,0%,0%,"Guffey, The Estate o",H
ACCT,2010,6,Financial Accounting,24%,33%,24%,7%,5%,0%,0%,7%,"Philo, Annieka C",
ACCT,2010,7,Financial Accounting,24%,27%,11%,8%,16%,0%,0%,14%,"Schleifer, Lydia Lan",
ACCT,2010,8,Financial Accounting,24%,33%,14%,4%,10%,0%,0%,14%,"Schleifer, Lydia Lan",
ACCT,2010,9,Financial Accounting,12%,34%,24%,7%,10%,0%,0%,12%,"Philo, Annieka C",
ACCT,2010,10,Financial Accounting,26%,13%,26%,8%,5%,0%,0%,23%,"Schleifer, Lydia Lan",
ACCT,2010,11,Financial Accounting,20%,18%,25%,15%,5%,0%,0%,18%,"Kohlmeyer, James Mil",
ACCT,2010,12,Financial Accounting,27%,24%,27%,12%,2%,0%,0%,7%,"Kohlmeyer, James Mil",
ACCT,2010,13,Financial Accounting,19%,43%,16%,10%,3%,0%,0%,9%,"Guffey, The Estate o",
ACCT,2010,14,Financial Accounting,9%,31%,20%,13%,9%,0%,0%,19%,"McMillan, Jeffrey J",
ACCT,2010,15,Financial Accounting,3%,28%,23%,15%,17%,0%,0%,13%,"Kohlmeyer, James Mil",
ACCT,2020,1,Managerial Accountin,18%,31%,20%,6%,8%,0%,0%,18%,"Anderson, Henry K.",
ACCT,2020,2,Managerial Accountin,23%,28%,19%,4%,9%,0%,0%,17%,"Anderson, Henry K.",
ACCT,2020,3,Managerial Accountin,17%,37%,25%,10%,6%,0%,0%,6%,"Philo, Annieka C",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
