Course,Number,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 21 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
CH,2270,23,Organic Chem Lab,88%,13%,0%,0%,0%,0%,0%,0%,"O'Connor, Sean",
CH,2270,24,Organic Chem Lab,81%,0%,0%,0%,0%,0%,0%,19%,"O'Connor, Sean",
CH,2270,25,Organic Chem Lab,88%,6%,0%,0%,0%,0%,0%,6%,"O'Connor, Sean",
CH,2270,26,Organic Chem Lab,88%,0%,6%,0%,0%,0%,0%,6%,"O'Connor, Sean",
CH,2270,31,Organic Chem Lab,81%,6%,0%,0%,0%,0%,0%,13%,"O'Connor, Sean",
CH,2270,32,Organic Chem Lab,81%,13%,0%,0%,6%,0%,0%,0%,"O'Connor, Sean",
CH,2270,33,Organic Chem Lab,88%,6%,6%,0%,0%,0%,0%,0%,"O'Connor, Sean",
CH,2270,34,Organic Chem Lab,56%,25%,6%,0%,0%,0%,0%,13%,"O'Connor, Sean",
CH,2270,35,Organic Chem Lab,75%,0%,6%,6%,0%,0%,0%,13%,"O'Connor, Sean",
CH,2270,36,Organic Chem Lab,75%,13%,6%,0%,0%,0%,0%,6%,"O'Connor, Sean",
CH,2280,1,Organic Chem Lab,78%,11%,6%,0%,0%,0%,0%,6%,"O'Connor, Sean",
CH,2280,5,Organic Chem Lab,71%,0%,7%,0%,0%,0%,0%,21%,"O'Connor, Sean",
CH,2280,6,Organic Chem Lab,81%,13%,0%,0%,0%,0%,0%,6%,"O'Connor, Sean",
CH,2280,7,Organic Chem Lab,35%,12%,12%,6%,12%,0%,0%,24%,"O'Connor, Sean",
CH,2280,8,Organic Chem Lab,83%,0%,0%,0%,11%,0%,0%,6%,"O'Connor, Sean",
CH,3130,1,Quantitative Analys,41%,22%,22%,6%,9%,0%,0%,0%,"Creager, Stephen E",
CH,3300,1,Intro to Phys Chem,34%,38%,13%,6%,3%,0%,0%,6%,"Dominy, Brian N",
CH,3310,1,Physical Chemistry,56%,36%,0%,0%,2%,0%,0%,7%,"Kholodenko, Arkady L",
CH,3320,1,Physical Chemistry,0%,57%,29%,0%,7%,0%,0%,7%,"Kholodenko, Arkady L",
CH,4010,1,Organometallic Chemistry,58%,26%,5%,11%,0%,0%,0%,0%,"Tennyson, Andrew Gre",
CH,4020,1,Inorganic Chemistry,47%,33%,17%,3%,0%,0%,0%,0%,"Kolis, Joseph W",
CH,8070,1,Chem Trans Elem,38%,63%,0%,0%,0%,0%,0%,0%,"Brumaghim, Julia",
CH,8140,1,Analytical Imaging,64%,27%,9%,0%,0%,0%,0%,0%,"Chumanov, George",
CH,8160,1,Separation Science,56%,25%,19%,0%,0%,0%,0%,0%,"Marcus, Richard K",
CH,8210,1,Organic Chem I,36%,55%,9%,0%,0%,0%,0%,0%,"Dieter, R Karl",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 22 of 103,
Grades Report for 201308,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,,A,B,C,D,F,P,F(P),W,Instructor,Honor
CH,8300,1,Fund Phys Chem,,55%,45%,0%,0%,0%,0%,0%,0%,"Perahia, Dvora",
CH,8410,1,N M R Spectroscopy,,60%,40%,0%,0%,0%,0%,0%,0%,"Kitaygorodskiy, Alek",
CH,8510,2,Grad Student Seminar,,94%,3%,0%,0%,0%,0%,0%,3%,"Anker, Jeffrey Natha",
CH,9300,1,Scientific Computing,,87%,6%,0%,0%,0%,0%,0%,6%,"Stuart, Steven J",
CH,9910,11,Doctoral Research,,0%,0%,0%,0%,0%,60%,40%,0%,"Marcus, Richard K",
CHE,2110,1,Intro to Chem Eng,,12%,12%,35%,12%,24%,0%,0%,4%,"Getman, Rachel B",
CHE,2110,2,Intro to Chem Eng,,28%,34%,21%,9%,4%,0%,0%,4%,"Getman, Rachel B",
CHE,3070,1,Unit Ops Lab I,,18%,55%,22%,5%,0%,0%,0%,0%,"Thies, Mark C",
CHE,3190,1,Engr Materials,,24%,39%,24%,5%,3%,0%,0%,5%,"Guiseppi-Elie, Antho",
CHE,4070,1,Unit Op Lab II,,29%,71%,0%,0%,0%,0%,0%,0%,"Husson, Scott M",
CHE,4310,1,Process Design I,,20%,80%,0%,0%,0%,0%,0%,0%,"Bruce, David A",
CHE,4450,1,Green Engineering,,46%,46%,0%,8%,0%,0%,0%,0%,"Kitchens, Christophe",
CHE,4500,1,Chem Reaction Engr,,20%,43%,32%,5%,0%,0%,0%,0%,"Blenner, Mark Alan",
CHE,8030,1,Advanced Transport,,44%,56%,0%,0%,0%,0%,0%,0%,"Hirt, Douglas E",
CHE,8040,1,Ch E Thermodynamics,,38%,50%,13%,0%,0%,0%,0%,0%,"Sarupria, Sapna",
CHE,8050,1,Ch E Kinetics,,50%,50%,0%,0%,0%,0%,0%,0%,"Roberts, Mark E",
CHIN,1010,1,Elementary Chinese,,82%,0%,0%,0%,0%,0%,0%,18%,"Zhang, Yanhua",
CHIN,1010,2,Elementary Chinese,,60%,10%,10%,10%,10%,0%,0%,0%,"Zhang, Yanhua",
CHIN,2010,1,Intermediate Chinese,,39%,11%,11%,17%,6%,0%,0%,17%,"An, Yanming",
CHIN,4010,1,Pre-Mod Chin Lit,,36%,50%,9%,0%,0%,0%,0%,5%,"An, Yanming",
COM,1010,1,Acad & Dev I,,0%,0%,0%,0%,0%,95%,0%,5%,"Smith, Eddie R",
COM,1500,1,Intro to Human Com,,71%,24%,3%,0%,0%,0%,0%,2%,"Smith, Eddie R",
COM,1500,2,Introduction,to Human Comm,56%,37%,4%,1%,1%,0%,0%,1%,"Fecher, Daniel Lelan",
COM,1500,3,Intro to Human Com,,69%,29%,1%,0%,0%,0%,0%,1%,"Smith, Eddie R",
COM,1500,4,Intro to Human Com,,49%,35%,8%,2%,3%,0%,0%,3%,"Glaser, Marianne Her",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 23 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
COM,1500,5,Intro to Human Com,45%,38%,11%,2%,2%,0%,0%,2%,"Glaser, Marianne Her",
COM,1500,6,Intro to Human Com,57%,32%,3%,3%,3%,0%,0%,2%,"Glaser, Marianne Her",
COM,1500,7,Intro to Human Com,39%,52%,7%,0%,1%,0%,0%,1%,"Fecher, Daniel Lelan",
COM,2010,1,Intr to Comm Studies,36%,55%,0%,5%,5%,0%,0%,0%,"Denham, Bryan E.",
COM,2010,2,Intr to Comm Studies,86%,10%,0%,0%,0%,0%,0%,3%,"Spinda, John Steven",
COM,2500,1,Public Speaking,74%,11%,0%,11%,0%,0%,0%,5%,"Stockhausen, Megan A",
COM,2500,2,Public Speaking,47%,37%,0%,5%,0%,0%,0%,11%,"Baker, Caitlin E",
COM,2500,3,Public Speaking,84%,11%,5%,0%,0%,0%,0%,0%,"Stockhausen, Megan A",
COM,2500,4,Public Speaking,58%,26%,16%,0%,0%,0%,0%,0%,"Crocker, Sara Grumbl",
COM,2500,5,Public Speaking,42%,37%,5%,5%,5%,0%,0%,5%,"Crocker, Sara Grumbl",
COM,2500,6,Public Speaking,53%,37%,5%,0%,5%,0%,0%,0%,"Boatwright, Brandon",
COM,2500,7,Public Speaking,42%,42%,11%,0%,0%,0%,0%,5%,"Boatwright, Brandon",
COM,2500,8,Public Speaking,47%,47%,5%,0%,0%,0%,0%,0%,"Baker, Caitlin E",
COM,2500,9,Public Speaking,89%,11%,0%,0%,0%,0%,0%,0%,"Schoonover, Katharin",
COM,2500,10,Public Speaking,63%,26%,0%,0%,11%,0%,0%,0%,"Schoonover, Katharin",
COM,2500,11,Public Speaking,89%,5%,0%,0%,0%,0%,0%,5%,"Schoonover, Katharin",
COM,2500,12,Public Speaking,58%,21%,21%,0%,0%,0%,0%,0%,"Davis, Alyssa Christ",
COM,2500,13,Public Speaking,63%,16%,16%,0%,0%,0%,0%,5%,"Davis, Alyssa Christ",
COM,2500,14,Public Speaking,68%,21%,5%,0%,0%,0%,0%,5%,"Davis, Alyssa Christ",
COM,2500,15,Public Speaking,26%,53%,16%,0%,5%,0%,0%,0%,"Baker, Caitlin E",
COM,2500,16,Public Speaking,58%,32%,0%,0%,0%,0%,0%,11%,"Geddes, The Estate o",
COM,2500,17,Public Speaking,39%,44%,0%,6%,0%,0%,0%,11%,"Matthey, Pauline",
COM,2500,18,Public Speaking,28%,39%,17%,0%,0%,0%,0%,17%,"Matthey, Pauline",
COM,2500,19,Public Speaking,37%,32%,26%,5%,0%,0%,0%,0%,"Matthey, Pauline",
COM,2500,20,Public Speaking,63%,26%,0%,5%,5%,0%,0%,0%,"Schoonover, Katharin",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 24 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
COM,2500,21,Public Speaking,68%,26%,0%,0%,5%,0%,0%,0%,"Payne, Kayla Steele",
COM,2500,22,Public Speaking,53%,37%,0%,0%,0%,0%,0%,11%,"Payne, Kayla Steele",
COM,2500,23,Public Speaking,37%,53%,11%,0%,0%,0%,0%,0%,"Payne, Kayla Steele",
COM,2500,24,Public Speaking,42%,26%,21%,5%,5%,0%,0%,0%,"Payne, Kayla Steele",
COM,2500,27,Public Speaking (HON),89%,6%,0%,0%,0%,0%,0%,6%,"Boatwright, Brandon",H
COM,2500,400,Public Speaking,84%,16%,0%,0%,0%,0%,0%,0%,"Davis, Alexis Zachar",
COM,2500,401,Public Speaking,83%,11%,0%,0%,6%,0%,0%,0%,"Davis, Alexis Zachar",
COM,2500,402,Public Speaking,89%,11%,0%,0%,0%,0%,0%,0%,"Davis, Alexis Zachar",
COM,2500,403,Public Speaking,63%,16%,0%,0%,5%,0%,0%,16%,"Davis, Alexis Zachar",
COM,3010,1,Comm Theory,74%,21%,5%,0%,0%,0%,0%,0%,"Linvill, Darren L",
COM,3020,1,Mass Comm Theory,67%,17%,11%,0%,0%,0%,0%,6%,"Ash, Erin Michelle",
COM,3020,2,Mass Comm Theory,56%,38%,0%,0%,0%,0%,0%,6%,"Ash, Erin Michelle",
COM,3050,1,Persuasion,89%,11%,0%,0%,0%,0%,0%,0%,"Dixon, Lindsey C",
COM,3060,1,Discourse & Society,56%,33%,11%,0%,0%,0%,0%,0%,"Boatwright, Brandon",
COM,3080,1,Pub Comm & Pop Cult,83%,6%,6%,6%,0%,0%,0%,0%,"Kumanyika, Chenjerai",
COM,3080,2,Pub Comm & Pop Cult,39%,56%,6%,0%,0%,0%,0%,0%,"Kumanyika, Chenjerai",
COM,3100,1,Quant Comm Methods,63%,31%,0%,0%,0%,0%,0%,6%,"Ash, Erin Michelle",
COM,3210,1,Comm Across Media Platforms,53%,47%,0%,0%,0%,0%,0%,0%,"Norton, Richard R",
COM,3260,1,Pr in Sports,50%,39%,6%,0%,0%,0%,0%,6%,"Denham, Bryan E.",
COM,3480,1,Interpersonal Comm,13%,67%,18%,2%,0%,0%,0%,0%,"Weathers, Melinda Ra",
COM,3660,1,Special Topics in Comm Studies,59%,41%,0%,0%,0%,0%,0%,0%,"Reynolds, William W.",
COM,3660,3,Special Topics in Comm Studies,88%,6%,6%,0%,0%,0%,0%,0%,"Mendelsohn, Andrew P",
COM,4300,1,Legal Communication,53%,47%,0%,0%,0%,0%,0%,0%,"Roberts, James Isaac",
COM,4950,2,Senior Capstone Sem,69%,15%,15%,0%,0%,0%,0%,0%,"Kendall, Brenden E",
COM,8030,1,Comm Technology Studies Survey,64%,36%,0%,0%,0%,0%,0%,0%,"Scott, David Travers",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 25 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
COM,8040,1,Health Communication,50%,33%,17%,0%,0%,0%,0%,0%,"Weathers, Melinda Ra",
COM,8100,1,Comm Research Methods I,70%,10%,10%,0%,10%,0%,0%,0%,"Mazer, Joseph P",
CPSC,1010,1,Computer Science I,33%,21%,19%,7%,14%,0%,0%,5%,"Hochrine, Catherine",
CPSC,1010,2,Computer Science I,41%,11%,11%,11%,3%,0%,0%,24%,"McMullen, Kyla A",
CPSC,1010,3,Computer Science I,21%,11%,18%,21%,8%,0%,0%,21%,"Srimani, Pradip K.",
CPSC,1010,4,Computer Science I,45%,10%,6%,19%,10%,0%,0%,10%,"Remy, Sekou Lionel",
CPSC,1020,1,Computer Science II,25%,14%,14%,7%,18%,0%,0%,21%,"Hochrine, Catherine",
CPSC,1020,2,Computer Science II,20%,30%,5%,5%,15%,0%,0%,25%,"Lowe, Rose M",
CPSC,1040,1,Intro Computer Prog,23%,58%,12%,4%,4%,0%,0%,0%,"Weaver, Kenneth Alle",
CPSC,1110,1,Intro to Programming in C,56%,34%,7%,2%,0%,0%,0%,0%,"Sterling, Patrick D",
CPSC,1110,2,Intro to Programming in C,71%,17%,5%,0%,2%,0%,0%,5%,"Sterling, Patrick D",
CPSC,1110,3,Intro to Programming in C,45%,33%,12%,3%,0%,0%,0%,6%,"Sterling, Patrick D",
CPSC,1110,4,Intro to Programming in C,74%,7%,5%,2%,9%,0%,0%,2%,"Dukes, Lauren Elizab",
CPSC,1200,1,Intro Info Tech,95%,5%,0%,0%,0%,0%,0%,0%,"Daily, Shaundra B",
CPSC,1200,2,Intro Info Tech,86%,7%,0%,0%,7%,0%,0%,0%,"Lambert, Renee S",
CPSC,2070,1,Discrete Structures,25%,36%,15%,6%,8%,0%,0%,10%,"Hodges, Larry F",
CPSC,2100,1,Progrmng Methodology,43%,17%,15%,4%,9%,0%,0%,13%,"Lowe, Rose M",
CPSC,2120,1,Algs/Data Structures,50%,24%,16%,0%,3%,0%,0%,8%,"Pargas, Roy P",
CPSC,2120,2,Algs/Data Structures,25%,50%,18%,0%,5%,0%,0%,2%,"Waters, Chad Gordon",
CPSC,2150,1,Software Dev Fndtns,38%,24%,19%,11%,5%,0%,0%,3%,"Hochrine, Catherine",
CPSC,2150,2,Software Dev Fndtns,31%,26%,18%,3%,15%,0%,0%,8%,"Sorber, Jacob M",
CPSC,2200,2,Microcomputer Appl,72%,28%,0%,0%,0%,0%,0%,0%,"Sterling, Patrick D",
CPSC,2310,1,Intro Computer Org,27%,29%,19%,10%,12%,0%,0%,4%,"Lowe, Rose M",
CPSC,2910,1,Prof Issues I,50%,20%,20%,0%,10%,0%,0%,0%,"Jones, James H.",
CPSC,2910,7,Prof Issues I,80%,10%,0%,0%,10%,0%,0%,0%,"Lambert, Renee S",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 26 of 103,
Grades Report for 201308,,,,,,,,,,,,,,
Course,Numbe,Section,,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
CPSC,3220,1,Intro to Operating Systems,,32%,35%,14%,8%,5%,0%,0%,5%,"Smotherman, Mark K",
CPSC,3300,1,Computer Systems Org,,11%,30%,43%,7%,5%,0%,0%,5%,"Smotherman, Mark K",
CPSC,3500,1,Foundatns of Com Sci,,16%,2%,5%,5%,9%,0%,0%,64%,"Hedetniemi, Sandra M",
CPSC,3520,1,Programming Systems,,47%,18%,15%,0%,12%,0%,0%,9%,"Schalkoff, Robert J",
CPSC,3600,1,Network Programming,,25%,31%,25%,6%,2%,0%,0%,10%,"Luo, Feng",
CPSC,3620,1,Distributed Computng,,30%,18%,43%,3%,3%,0%,0%,5%,"Apon, Amy W.",
CPSC,3720,1,Software Engineering,,21%,48%,28%,0%,0%,0%,0%,3%,"Sitaraman, Murali",
CPSC,3720,2,Software Engineering,,26%,37%,26%,4%,4%,0%,0%,4%,"McGregor, John D",
CPSC,4040,1,Cmptr Graphics Image,,56%,25%,13%,6%,0%,0%,0%,0%,"Levine, Joshua A",
CPSC,4200,1,Computer Security Principles,,33%,19%,24%,10%,5%,0%,0%,10%,"Srimani, Pradip K.",
CPSC,4620,1,Database Management Systems,,66%,22%,9%,0%,0%,0%,0%,3%,"Gilbert, Juan E",
CPSC,4810,6,Sel Topic Games for Sci Ed CI,,80%,20%,0%,0%,0%,0%,0%,0%,"Levine, Joshua A",
CPSC,4910,1,ProfIssues II,83%,11%,3%,3%,0%,0%,0%,0%,"Jones, James H.",
CPSC,6040,1,Cptr Graphics Image,,74%,21%,0%,0%,0%,0%,0%,5%,"Levine, Joshua A",
CPSC,6060,1,Gpu Computation,,50%,30%,10%,0%,0%,0%,0%,10%,"Geist, Robert M",
CPSC,6120,1,Eye Tracking Methodology,,43%,57%,0%,0%,0%,0%,0%,0%,"Duchowski, Andrew T",
CPSC,6200,1,Computer Security Principles,,0%,50%,33%,0%,17%,0%,0%,0%,"Srimani, Pradip K.",
CPSC,6620,1,Database Management Systems,,89%,11%,0%,0%,0%,0%,0%,0%,"Gilbert, Juan E",
CPSC,6810,2,Sel Topic Mobile Devise Softwa,,40%,40%,0%,0%,0%,0%,0%,20%,"Pargas, Roy P",
CPSC,8070,1,3d Model Animation,,75%,25%,0%,0%,0%,0%,0%,0%,"Joerg, Christina Sop",
CPSC,8100,1,Intro Artif Intell,,14%,67%,5%,0%,0%,0%,0%,14%,"Luo, Feng",
CPSC,8170,1,Physically Based Animation,,45%,45%,5%,0%,5%,0%,0%,0%,"House, Donald Henry",
CPSC,8200,1,Parallel Architechture,,23%,46%,0%,0%,8%,0%,0%,23%,"Srimani, Pradip K.",
CPSC,8270,1,Translation of Progr Languages,,77%,23%,0%,0%,0%,0%,0%,0%,"Malloy, Brian A",
CPSC,8390,1,Theoretical Cp Sci Foundations,,41%,51%,8%,0%,0%,0%,0%,0%,"Goddard, Wayne D",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,,Page 27 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
CPSC,8510,1,Soft Sys Data Comm,34%,39%,18%,0%,3%,0%,0%,5%,"Martin, James J",
CPSC,8700,1,O O Software Design,69%,15%,13%,0%,0%,0%,0%,4%,"Malloy, Brian A",
CPSC,8710,1,Found. of Software Engineering,73%,23%,4%,0%,0%,0%,0%,0%,"McGregor, John D",
CPSC,8730,1,"Software Verif, Valid & Measur",24%,41%,18%,0%,0%,0%,0%,18%,"Hallstrom, Jason O",
CPSC,8770,1,Biometric Systems,58%,17%,8%,0%,17%,0%,0%,0%,"Woodard, Damon L",
CPSC,9400,1,Advanced Algorithms,38%,33%,24%,0%,0%,0%,0%,5%,"Dean, Brian Christop",
CPSC,9500,2,Selected Topics Algorithms,0%,0%,0%,0%,0%,70%,30%,0%,"Dean, Brian Christop",
CRP,8000,1,Human Settlement,38%,62%,0%,0%,0%,0%,0%,0%,"Farris, John Terrenc",
CRP,8020,1,Site Planning,86%,14%,0%,0%,0%,0%,0%,0%,"Ellis, Clifford Dona",
CRP,8060,1,Urban Systems,44%,56%,0%,0%,0%,0%,0%,0%,"Green, Timothy F",
CRP,8130,1,Transportation Plan,60%,40%,0%,0%,0%,0%,0%,0%,"Morris, Eric A",
CSEN,2020,1,Soils,33%,32%,26%,0%,6%,0%,0%,3%,"Park, Dara Michelle",
CSEN,4090,1,Invasive Plants,85%,8%,0%,0%,0%,0%,0%,8%,Tharayil-Santhakumar,
CSEN,4230,1,Fld Crops: Forages,88%,4%,4%,0%,0%,0%,0%,4%,"Andrae, John G",
CSEN,4460,1,Soil Management,6%,35%,53%,0%,0%,0%,0%,6%,"Park, Dara Michelle",
CSEN,6460,1,Soil Management,50%,50%,0%,0%,0%,0%,0%,0%,"Park, Dara Michelle",
CSM,1000,1,Intro to Construct,32%,49%,17%,0%,0%,0%,0%,2%,"Wintz, Joseph A",
CSM,2010,1,Structures I,26%,39%,13%,17%,0%,0%,0%,4%,"Clarke, Shima N",
CSM,2010,2,Structures I,26%,32%,26%,0%,16%,0%,0%,0%,"Clarke, Shima N",
CSM,2030,1,Mats & Meth of Const,20%,53%,13%,7%,7%,0%,0%,0%,"Lucas, Jason D",
CSM,2030,2,Mats & Meth of Const,21%,50%,18%,4%,4%,0%,0%,4%,"Lucas, Jason D",
CSM,3030,1,Soils & Foundations,5%,48%,24%,14%,10%,0%,0%,0%,"Wintz, Joseph A",
CSM,3030,2,Soils & Foundations,5%,52%,29%,14%,0%,0%,0%,0%,"Wintz, Joseph A",
CSM,3040,1,Envir Systems I,39%,52%,4%,4%,0%,0%,0%,0%,"Burgett, Joseph Mich",
CSM,3040,2,Envir Systems I,28%,50%,17%,6%,0%,0%,0%,0%,"Burgett, Joseph Mich",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 28 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
CSM,3510,1,Const Estimating,36%,50%,14%,0%,0%,0%,0%,0%,"Smith, James Packer",
CSM,3510,2,Const Estimating,21%,47%,21%,11%,0%,0%,0%,0%,"Smith, James Packer",
CSM,4110,1,Safety in Bldg Const,50%,50%,0%,0%,0%,0%,0%,0%,"DeVita, David J",
CSM,4500,1,Construction Intern,54%,46%,0%,0%,0%,0%,0%,0%,"Liska, Roger William",
CSM,4530,1,Const Proj Mgmt,22%,22%,56%,0%,0%,0%,0%,0%,"Piper, Christine A",
CSM,4530,2,Const Proj Mgmt,19%,44%,31%,6%,0%,0%,0%,0%,"Piper, Christine A",
CSM,4610,1,Const Econ Seminar,38%,19%,38%,6%,0%,0%,0%,0%,"Bausman, Dennis C",
CSM,4610,2,Const Econ Seminar,28%,44%,28%,0%,0%,0%,0%,0%,"Bausman, Dennis C",
CSM,8640,1,Construction Bus Strat & Mktg,43%,57%,0%,0%,0%,0%,0%,0%,"Piper, Christine A",
CSM,8650,1,Project Management,50%,33%,17%,0%,0%,0%,0%,0%,"Bausman, Dennis C",
CSM,8660,1,Role in Development,63%,38%,0%,0%,0%,0%,0%,0%,"Bausman, Dennis C",
CU,1000,1,Clemson Connect,0%,0%,0%,0%,0%,91%,8%,1%,"Appling, Jeffrey R",
CU,1000,2,Clemson Connect,0%,0%,0%,0%,0%,88%,10%,2%,"Appling, Jeffrey R",
CU,1000,3,Clemson Connect,0%,0%,0%,0%,0%,83%,15%,1%,"Appling, Jeffrey R",
CU,1000,4,Clemson Connect,0%,0%,0%,0%,0%,78%,20%,2%,"Appling, Jeffrey R",
CU,1000,5,Clemson Connect,0%,0%,0%,0%,0%,97%,3%,0%,"Appling, Jeffrey R",
CU,1000,6,Clemson Connect,0%,0%,0%,0%,0%,97%,3%,0%,"Appling, Jeffrey R",
CU,1000,7,Clemson Connect,0%,0%,0%,0%,0%,95%,4%,1%,"Appling, Jeffrey R",
CU,1000,8,Clemson Connect,0%,0%,0%,0%,0%,99%,1%,1%,"Appling, Jeffrey R",
CU,1000,9,Clemson Connect,0%,0%,0%,0%,0%,95%,5%,0%,"Appling, Jeffrey R",
CU,1000,10,Clemson Connect,0%,0%,0%,0%,0%,97%,3%,0%,"Appling, Jeffrey R",
CU,1000,11,Clemson Connect,0%,0%,0%,0%,0%,95%,4%,1%,"Appling, Jeffrey R",
CU,1000,12,Clemson Connect,0%,0%,0%,0%,0%,94%,5%,1%,"Appling, Jeffrey R",
CU,1000,13,Clemson Connect,0%,0%,0%,0%,0%,93%,7%,1%,"Appling, Jeffrey R",
CU,1000,14,Clemson Connect,0%,0%,0%,0%,0%,88%,10%,1%,"Appling, Jeffrey R",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,
"Monday, September 23, 2019",,,,,,,,,,,,Page 29 of 103,
Grades Report for 201308,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
CU,1010,2,Univ Success Skills,54%,8%,8%,8%,23%,0%,0%,0%,"Richardson, M Elaine",
CU,1010,5,Univ Success Skills,69%,23%,0%,0%,0%,0%,0%,8%,"Richardson, M Elaine",
CU,1010,6,Univ Success Skills,89%,6%,0%,0%,6%,0%,0%,0%,"Mulkey, Amber Allen",
CU,1010,7,Univ Success Skills,86%,14%,0%,0%,0%,0%,0%,0%,"Mulkey, Amber Allen",
CU,1110,4,Intro Supplemental Instruction,0%,0%,0%,0%,0%,93%,4%,4%,"Whisler, Laurel Ann",
CVT,2260,1,Intro Cardiovas Sono,40%,25%,10%,15%,10%,0%,0%,0%,"Walker, Eric J",
DANC,1600,1,Ballet Dance I,89%,0%,0%,0%,6%,0%,0%,6%,"Hosler, Cheryl L",
DPA,3070,1,Method 3d Production,47%,16%,16%,0%,16%,0%,0%,5%,"Curtis, Timothy J",
DPA,4020,1,Vis Foundations I,50%,40%,10%,0%,0%,0%,0%,0%,"House, Lynette",
ECE,2010,1,Logic & Comp Device,16%,25%,28%,13%,13%,0%,0%,5%,"Reid, William J",
ECE,2010,2,Logic & Comp Device (HON),61%,30%,9%,0%,0%,0%,0%,0%,"Reid, William J",H
ECE,2020,1,Electric Circuits I,19%,22%,23%,15%,16%,0%,0%,5%,"Harrell, William R",
ECE,2020,2,Electric Circuits I (HON),55%,10%,30%,5%,0%,0%,0%,0%,"Xu, Xiao-bang",H
ECE,2090,6,Logic Lab,80%,0%,10%,0%,10%,0%,0%,0%,"Burg, Timothy C",
ECE,2090,10,Logic Lab,70%,10%,20%,0%,0%,0%,0%,0%,"Burg, Timothy C",
ECE,2110,1,Elec Engr Lab I,85%,10%,0%,0%,0%,0%,0%,5%,"Burg, Timothy C",
ECE,2110,2,Elec Engr Lab I,84%,0%,0%,0%,0%,0%,0%,16%,"Burg, Timothy C",
