Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3030,4,Cost Accounting,36%,31%,24%,2%,0%,0%,0%,5%,2%,0%,0%,0%,"Way, Daniel Thomas",
ACCT,3030,5,Cost Accounting,38%,36%,21%,5%,0%,0%,0%,0%,0%,0%,0%,0%,"Way, Daniel Thomas",
ACCT,3110,1,Intermediate Financial Acc,23%,35%,19%,6%,0%,0%,0%,16%,0%,0%,0%,0%,"Donnelly, Amy",
,,,,,,,,,,,,,,,,Melissa,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Wednesday, January 5, 2022",,,,,,,,,,,,,,,,Page 2 of 163,
Grades Report for 202108,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3110,2,Intermediate Financial Acc,18%,36%,27%,14%,0%,0%,0%,5%,0%,0%,0%,0%,"Donnelly, Amy",
,,,,,,,,,,,,,,,,Melissa,
ACCT,3110,3,Intermediate Financial Acc,17%,28%,31%,10%,14%,0%,0%,0%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,4,Intermediate Financial Acc,16%,45%,16%,19%,0%,0%,0%,3%,0%,0%,0%,0%,"Hawkins, Erin",
,,,,,,,,,,,,,,,,Michelle,
ACCT,3110,5,Intermediate Financial Acc,7%,70%,17%,3%,3%,0%,0%,0%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3110,6,Intermediate Financial Acc,26%,52%,13%,3%,0%,0%,0%,6%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3110,7,Intermediate Financial Acc,26%,32%,35%,0%,3%,0%,0%,3%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3110,8,Intermediate Financial Acc,20%,40%,23%,7%,7%,0%,0%,3%,0%,0%,0%,0%,"Madray, J Russell",
ACCT,3110,9,Intermediate Financial Acc,10%,28%,34%,17%,7%,0%,0%,3%,0%,0%,0%,0%,"Maiberger, Philip A",
ACCT,3110,102,Intermediate Fin Acct I (HO,63%,25%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Donnelly, Amy",H
,,,,,,,,,,,,,,,,Melissa,
ACCT,3120,1,Intermediate Financial Acc,16%,47%,34%,0%,3%,0%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,3120,2,Intermediate Financial Acc,30%,33%,28%,5%,5%,0%,0%,0%,0%,0%,0%,0%,"Vinson, Jeremy",
,,,,,,,,,,,,,,,,Michael,
ACCT,3120,3,Intermediate Financial Acc,25%,25%,28%,0%,0%,0%,0%,22%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,4,Intermediate Financial Acc,48%,34%,7%,7%,0%,0%,0%,3%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,5,Intermediate Financial Acc,32%,29%,26%,0%,0%,0%,0%,12%,0%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,6,Intermediate Financial Acc,42%,36%,8%,0%,0%,0%,0%,11%,3%,0%,0%,0%,"Knause, Terry Daniel",
ACCT,3120,104,Intermediate Fin Acct II (H,75%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,"Knause, Terry Daniel",H
